Cantidad de simbolos = 4153
Longitud media = 9.394061652902844
Rendimiento = 0.9912673261159609
Redundancia = 0.008732673884039088

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
suerte,				1100001101101
tinto,				1100001101110
veces.				1100001101111
fuese.				1100001110000
objeto				1100001110001
fuese,				1100001110010
volver				1100001110011
ilustre				1100001110100
quitase				1100001110101
desgracia				1100001110110
Santa				1100001110111
repúblicas,				1100001111000
discreta				1100001111001
pasó				1100001111010
eso,				1100001111011
premiar				1100001111100
silla,				1100001111101
deshacer				110000111111
Argel,				1100010000000
monja,				1100010000001
quiera				1100010000010
podido				1100010000011
¿qué				1100010000100
Muley				1100010000101
rogaron				1100010000110
gusto				1100010000111
cubrir				1100010001000
franco,				1100010001001
bien,				1100010001010
vea				1100010001011
tomar				1100010001100
ven				1100010001101
preguntar				1100010001110
inauditas				1100010001111
grave				1100010010000
aguarda,				1100010010001
vivía				1100010010010
calidad				1100010010011
temeroso				1100010010100
elegir				1100010010101
pasada				1100010010110
cristiano,				1100010010111
sustentar				1100010011000
vista				1100010011001
hacerme				1100010011010
estuviese				1100010011011
debía				1100010011100
sonetos				1100010011101
descuido				110001001111
derramar				1100010100000
De				1100010100001
cruel				1100010100010
vengarse				1100010100011
cola,				1100010100100
(porque				1100010100101
prerrogativa				1100010100110
vosotros				1100010100111
agua				1100010101000
justamente				1100010101001
es,				1100010101010
premio				1100010101011
es?				1100010101100
honra				1100010101101
quieres				1100010101110
esa				1100010101111
ese				1100010110000
Zoraida.				1100010110001
Zoraida;				1100010110010
luengos				1100010110011
barba				1100010110100
cuero				1100010110101
jornadas				1100010110110
Digo,				1100010110111
estima				1100010111000
amigo,				1100010111001
trataba,				1100010111010
quieras				1100010111011
jornada,				1100010111100
mayores				1100010111101
hablando				110001011111
¿Qué				1100011000000
pareció				1100011000001
asimismo				1100011000010
suma				1100011000011
movió				1100011000100
tenían.				1100011000101
acaso,				1100011000110
galas				1100011000111
puestas				1100011001000
trincheas				1100011001001
sollozos				1100011001010
Así				1100011001011
descuido;				1100011001100
presentes				1100011001101
abrió				1100011001110
fuerzas				1100011001111
procurar				1100011010000
culpa				1100011010001
volviendo				1100011010010
deseaba;				1100011010011
gana				1100011010100
voces				1100011010101
desnudez,				1100011010110
vista,				1100011010111
hecho.				1100011011000
siendo				1100011011001
decir,				1100011011010
Sólo				1100011011011
decir:				1100011011100
manos,				1100011011101
pensado				110001101111
caballero-,				1100011100000
fe				1100011100001
piadoso				1100011100010
Ella,				1100011100011
clara				1100011100100
quisiere,				1100011100101
voluntad,				1100011100110
Mas				1100011100111
mentirosos				1100011101000
crédito				1100011101001
pudo				1100011101010
Iglesia,				1100011101011
ansí				1100011101100
o,				1100011101101
necesidad				110001110111
-Digo,				1100011110000
dél				1100011110001
reinos,				1100011110010
contraria,				1100011110011
verdaderamente				1100011110100
iguala				1100011110101
llegué				1100011110110
levantaron				1100011110111
quieras,				1100011111000
quedar				1100011111001
concluir				1100011111010
recelo				1100011111011
pudiesen				1100011111100
tuya,				1100011111101
embozada,				110001111111
levantarse				1100100000000
padece				1100100000001
seis				1100100000010
quisiere				1100100000011
-Por				1100100000100
puta				1100100000101
liga				1100100000110
quería				1100100000111
amarillo,				1100100001000
contrario.				1100100001001
siglos.				1100100001010
recogió				1100100001011
caballería				1100100001100
Cautivaron				1100100001101
éstos				1100100001110
ventero-				1100100001111
salga				1100100010000
ladrón,				1100100010001
basta				1100100010010
menor				1100100010011
Juan,				1100100010100
El,				1100100010101
arrodillada				1100100010110
liberal				1100100010111
queda				1100100011000
corría				1100100011001
mesmos				1100100011010
servido				1100100011011
batalla,				1100100011100
tenemos				1100100011101
ventera				110010001111
profesión,				1100100100000
hallarse				1100100100001
andaba				1100100100010
fuerzas,				1100100100011
parece.				1100100100100
faltado				1100100100101
Era				1100100100110
querría				1100100100111
previlegios				1100100101000
discreto,				1100100101001
Luscinda.				1100100101010
revés				1100100101011
condición				1100100101100
donaire				1100100101101
pie				1100100101110
pasaron				1100100101111
-En				1100100110000
boca,				1100100110001
boca.				1100100110010
fabricador				1100100110011
guerra.				1100100110100
miedo,				1100100110101
aventuras				1100100110110
libertad				1100100110111
defensa				1100100111000
hallé				1100100111001
podían				1100100111010
arte				1100100111011
vestida				1100100111100
Andrea				1100100111101
buscando				110010011111
faltaba				1100101000000
pusiese				1100101000001
vos,				1100101000010
determinado				1100101000011
siguiese				1100101000100
daños				1100101000101
juicio.				1100101000110
plática				1100101000111
marido				1100101001000
grandísimo				1100101001001
mirar				1100101001010
-Que				1100101001011
resolución,				1100101001100
cercen				1100101001101
-Si				1100101001110
obra.				1100101001111
ventura,				1100101010000
así:				1100101010001
sabido				1100101010010
novela				1100101010011
lugar,				1100101010100
mandó				1100101010101
refrán				1100101010110
cueros.				1100101010111
fuere				1100101011000
guerrero,				1100101011001
mío				1100101011010
provecho				1100101011011
griego				1100101011100
tal,				1100101011101
armada.				110010101111
puerto,				1100101100000
¿cómo				1100101100001
puedes				1100101100010
llaman				1100101100011
sois				1100101100100
tengo.				1100101100101
suyo,				1100101100110
queréis				1100101100111
pecho				1100101101000
silencio,				1100101101001
tienes				1100101101010
cristiano				1100101101011
nueva				1100101101100
Andalucía,				1100101101101
nuevo				1100101101110
suspiros,				1100101101111
andante				1100101110000
diligencia				1100101110001
gastador				1100101110010
sucedido.				1100101110011
ordenó				1100101110100
impertinente				1100101110101
Fue				1100101110110
atentamente				1100101110111
Volvió				1100101111000
fuerte.				1100101111001
allí,				1100101111010
Quijote;				1100101111011
parecía,				1100101111100
blanco				1100101111101
camisa,				110010111111
Hasta				1100110000000
premiados				1100110000001
admirada				1100110000010
llegue				1100110000011
cristiana,				1100110000100
faldas,				1100110000101
fuente				1100110000110
conforme				1100110000111
desgracia,				1100110001000
hagan				1100110001001
desgracia;				1100110001010
dentro				1100110001011
artificio				1100110001100
entendimiento,				1100110001101
segundo				1100110001110
mercancía,				1100110001111
sabré				1100110010000
diera				1100110010001
responder				1100110010010
dormir				1100110010011
diese				1100110010100
cuerpo.				1100110010101
capitán,				1100110010110
mío.				1100110010111
huyó				1100110011000
paradero				1100110011001
recebir				1100110011010
fama				1100110011011
instante				1100110011100
cuento				1100110011101
seria				110011001111
negar				1100110100000
manera:				1100110100001
caballería.				1100110100010
isla				1100110100011
pasos				1100110100100
escuchándole				1100110100101
disparates				1100110100110
mandar				1100110100111
tantas,				1100110101000
extraño				1100110101001
abrazado				1100110101010
caballo				1100110101011
espaldas				1100110101100
extraña				1100110101101
quitado				1100110101110
agua.				1100110101111
unas				1100110110000
reducir				1100110110001
memoria				1100110110010
hemos				1100110110011
trances				1100110110100
decís,				1100110110101
Figura,				1100110110110
sangre,				1100110110111
naturaleza				1100110111000
trujeron				1100110111001
desnudez				1100110111010
España,				1100110111011
habrá				1100110111100
rogó				1100110111101
¿Quién				110011011111
llamarte				1100111000000
grado				1100111000001
banco,				1100111000010
hallándose				1100111000011
estado,				1100111000100
pequeño				1100111000101
fueran				1100111000110
ellas				1100111000111
darle				1100111001000
ellos,				1100111001001
algo				1100111001010
callaba,				1100111001011
ella.				1100111001100
ella;				1100111001101
tanto,				1100111001110
pudo,				1100111001111
porque,				1100111010000
¿no				1100111010001
escudero				1100111010010
alma				1100111010011
supiese				1100111010100
quedase				1100111010101
peligros				1100111010110
cortada				1100111010111
miseria				1100111011000
hará				1100111011001
había,				1100111011010
será,				1100111011011
decían				1100111011100
hizo,				1100111011101
remo				110011101111
fortuna,				1100111100000
pocas				1100111100001
pienso				1100111100010
señores				1100111100011
decía:				1100111100100
liberalidad				1100111100101
véase				1100111100110
cumpliría				1100111100111
moro				1100111101000
cura-				1100111101001
Esta				1100111101010
Este				1100111101011
trujo				1100111101100
conocerle,				1100111101101
sucesos,				110011110111
descomunal				1100111110000
papel,				1100111110001
dejaba				1100111110010
despedimos				1100111110011
voces:				1100111110100
usado				1100111110101
noticia				1100111110110
alta				1100111110111
favor				1100111111000
acudió				1100111111001
acababa				1100111111010
zapatos,				1100111111011
novela,				1100111111100
deciros				1100111111101
pidió				110011111111
personas				1101000000000
gracias				1101000000001
