Cantidad de simbolos = 4153
Longitud media = 9.339847443736884
Rendimiento = 0.9970212503081027
Redundancia = 0.0029787496918972645

Diccionario de Codificación por Huffman

SIMBOLO				CODIFICACION
cercen				1011101010011
-Si				1010000100101
obra.				1001001000001
ventura,				1000111001010
así:				1000011011011
sabido				1010001001010
novela				0111101110000
lugar,				1001001101011
mandó				1011110000000
refrán				1010000101111
cueros.				1001010001011
fuere				1010110001100
guerrero,				1010011110001
mío				0111110101100
provecho				0111110101101
griego				1010101011010
tal,				1010101011011
armada.				1010001011011
puerto,				1010111001001
¿cómo				1010010001110
puedes				1000110101001
llaman				1010001011110
sois				1010001011111
tengo.				1011101011111
suyo,				1000011001010
queréis				1001101010000
pecho				1010010111011
silencio,				1010111010100
tienes				1010111010101
cristiano				1011001111011
nueva				1001000111111
Andalucía,				1000011001111
nuevo				1011101001101
suspiros,				1011101110100
andante				1100000001110
diligencia				1010100101101
gastador				1010110101001
sucedido.				1000011100101
ordenó				1100000110110
impertinente				1000000100111
Fue				1001011010110
atentamente				1000000011010
Volvió				1011000100000
fuerte.				1000110011000
allí,				1000110011010
Quijote;				1000110011011
parecía,				1000110011001
blanco				1001100001101
camisa,				1010011000110
Hasta				1011001101111
premiados				1000111111001
admirada				1011010000111
llegue				1001001110001
cristiana,				1001001110011
faldas,				1010001111101
fuente				1001100001110
conforme				1001100001111
desgracia,				1001000010001
hagan				1011110100101
desgracia;				0111110110011
dentro				1001010111100
artificio				0111110110010
entendimiento,				1001011000100
segundo				1011001110110
mercancía,				1011001110111
sabré				1011110010110
diera				1011110010111
responder				1010111010011
dormir				1011010010011
diese				1011110100110
cuerpo.				0111110011011
capitán,				1001011000111
mío.				0110111111010
huyó				1010111110011
paradero				1000000101011
recebir				1010000010001
fama				1001101011101
instante				1011010111111
cuento				1011010111101
seria				1001100101011
negar				1001100100001
manera:				1001100100011
caballería.				1000110010111
isla				1010101110001
pasos				1011101100101
escuchándole				1000010111101
disparates				1010011111111
mandar				1010101110011
tantas,				1000010010101
extraño				1100000011000
abrazado				1100000011001
caballo				1010001010101
espaldas				1010100101110
extraña				1011100110101
quitado				1010100101111
agua.				0111111111000
unas				0111111111001
reducir				1000100011010
memoria				1000101010001
hemos				1011111011001
trances				1001101111111
decís,				0111110100111
Figura,				1100001000110
sangre,				1010111011011
naturaleza				1010000101011
trujeron				1011111011101
desnudez				1000010001001
España,				1010001010011
habrá				1010001010001
rogó				1001010011110
¿Quién				1010001010000
llamarte				1000110100011
grado				1010110110110
banco,				1010011111011
hallándose				1010111011110
estado,				1010011011111
pequeño				1000101111000
fueran				1001100110001
ellas				1001100110010
darle				1001101100011
ellos,				1000011111100
algo				1001111111010
callaba,				1000010101000
ella.				1011010000010
ella;				1011010000011
tanto,				1000011101111
pudo,				1010010101110
porque,				1010010101101
¿no				0111110000011
escudero				1000010001110
alma				1000100001001
supiese				1001100000101
quedase				1001100000100
peligros				1000100001010
cortada				1011000001110
miseria				1011000111010
hará				1000100001000
había,				1001001000010
será,				0111110000010
decían				1000011101011
hizo,				1000010011010
remo				1000010011011
fortuna,				1000011101110
pocas				1010011000001
pienso				1010111111010
señores				0111111011100
decía:				1001100110000
liberalidad				1001100010000
véase				0111101101110
cumpliría				1000011111110
moro				1000010101110
cura-				1011111001111
Esta				1000111000000
Este				1010001010010
trujo				0110111111110
conocerle,				1001110001001
sucesos,				1010110110100
descomunal				1001110001000
papel,				1010000101010
dejaba				1010011011101
despedimos				0111110100100
voces:				1000101001100
usado				1000101010000
noticia				1011100110110
alta				1000110101011
favor				0111101101001
acudió				1010001010100
acababa				0111111000100
zapatos,				0111111000101
novela,				1000010010100
deciros				1010101110010
pidió				1001011011100
personas				1010110010110
gracias				1010010110110
vino,				1001011011101
vino.				1011101111011
Quijote-.				1011100111110
diré.				1001101011100
pique				1001100101010
rindieron				1010011101111
echar				1010011101110
decirle				1010111110010
dices,				1011111110100
comodidad				1011100111011
-Todo				1001011000110
licencia				1001000010100
jumento,				1001001100010
oír				1100001000010
apartar				1011101010110
cerca				1000110001011
cautivo,				1000100001100
contado,				1000110100100
largo				1010001110110
alférez				1010111010000
pagar,				1011110100100
pensamientos				1001010100110
faltar				1000101001111
principalmente				1010001111100
engañado				0111110110000
viéndose				1011110011100
vestir,				1001001110000
ofrecimientos,				1011001101110
llegaba				1011001101100
vivir				1011111111110
acordó				1000101011111
acabase				1000100111111
filos				1011000100111
dijeron				1010100011000
extremo				1010100011001
subió				1010100100000
cinco				1011010000100
bonetillo				1011101001110
cuidado				1000010111001
amo,				1011100010110
Nápoles,				1001001111100
Donde				1010101011110
sabe				1011101001100
pospuesto				1001000111110
verdad;				1000000100000
déjame				0110111110100
gobernador				1010010111010
privarse				1011000100110
acabado				1010100110001
matar				1011011101111
cae				1011011110000
sentar				1011011110110
Pero,				1100000000111
mundo.				0111111100010
Oyó				1011101100111
mundo,				1100000100100
criada				1010011110010
encerrada				0111111100001
palabra,				1000010101100
rendido				1001010001010
