Cantidad de simbolos = 4153
Longitud media = 9.355229149593251
Rendimiento = 0.9953819652238401
Redundancia = 0.004618034776159852

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
recebir				1100110100000
fama				1100110100001
instante				1100110100010
cuento				1100110100011
seria				1100110100100
negar				1100110100101
manera:				1100110100110
caballería.				1100110100111
isla				1100110101000
pasos				1100110101001
escuchándole				1100110101010
disparates				1100110101011
mandar				1100110101100
tantas,				1100110101101
extraño				1100110101110
abrazado				1100110101111
caballo				1100110110000
espaldas				1100110110001
extraña				1100110110010
quitado				1100110110011
agua.				1100110110100
unas				1100110110101
reducir				1100110110110
memoria				1100110110111
hemos				1100110111000
trances				1100110111001
decís,				1100110111010
Figura,				1100110111011
sangre,				1100110111100
naturaleza				1100110111101
trujeron				110011011111
desnudez				1100111000000
España,				1100111000001
habrá				1100111000010
rogó				1100111000011
¿Quién				1100111000100
llamarte				1100111000101
grado				1100111000110
banco,				1100111000111
hallándose				1100111001000
estado,				1100111001001
pequeño				1100111001010
fueran				1100111001011
ellas				1100111001100
darle				1100111001101
ellos,				1100111001110
algo				1100111001111
callaba,				1100111010000
ella.				1100111010001
ella;				1100111010010
tanto,				1100111010011
pudo,				1100111010100
porque,				1100111010101
¿no				1100111010110
escudero				1100111010111
alma				1100111011000
supiese				1100111011001
quedase				1100111011010
peligros				1100111011011
cortada				1100111011100
miseria				1100111011101
hará				110011101111
había,				1100111100000
será,				1100111100001
decían				1100111100010
hizo,				1100111100011
remo				1100111100100
fortuna,				1100111100101
pocas				1100111100110
pienso				1100111100111
señores				1100111101000
decía:				1100111101001
liberalidad				1100111101010
véase				1100111101011
cumpliría				1100111101100
moro				1100111101101
cura-				1100111101110
Esta				1100111101111
Este				1100111110000
trujo				1100111110001
conocerle,				1100111110010
sucesos,				1100111110011
descomunal				1100111110100
papel,				1100111110101
dejaba				1100111110110
despedimos				1100111110111
voces:				1100111111000
usado				1100111111001
noticia				1100111111010
alta				1100111111011
favor				1100111111100
acudió				1100111111101
acababa				110011111111
zapatos,				1101000000000
novela,				1101000000001
deciros				1101000000010
pidió				1101000000011
personas				1101000000100
gracias				1101000000101
vino,				1101000000110
vino.				1101000000111
Quijote-.				1101000001000
diré.				1101000001001
pique				1101000001010
rindieron				1101000001011
echar				1101000001100
decirle				1101000001101
dices,				1101000001110
comodidad				1101000001111
-Todo				1101000010000
licencia				1101000010001
jumento,				1101000010010
oír				1101000010011
apartar				1101000010100
cerca				1101000010101
cautivo,				1101000010110
contado,				1101000010111
largo				1101000011000
alférez				1101000011001
pagar,				1101000011010
pensamientos				1101000011011
faltar				1101000011100
principalmente				1101000011101
engañado				110100001111
viéndose				1101000100000
vestir,				1101000100001
ofrecimientos,				1101000100010
llegaba				1101000100011
vivir				1101000100100
acordó				1101000100101
acabase				1101000100110
filos				1101000100111
dijeron				1101000101000
extremo				1101000101001
subió				1101000101010
cinco				1101000101011
bonetillo				1101000101100
cuidado				1101000101101
amo,				1101000101110
Nápoles,				1101000101111
Donde				1101000110000
sabe				1101000110001
pospuesto				1101000110010
verdad;				1101000110011
déjame				1101000110100
gobernador				1101000110101
privarse				1101000110110
acabado				1101000110111
matar				1101000111000
cae				1101000111001
sentar				1101000111010
Pero,				1101000111011
mundo.				1101000111100
Oyó				1101000111101
mundo,				110100011111
criada				1101001000000
encerrada				1101001000001
palabra,				1101001000010
rendido				1101001000011
guarde				11010010001000
pida				11010010001001
fingido,				11010010001010
bastante				11010010001011
furia				11010010001100
despecho,				11010010001101
muerte,				11010010001110
pie.				11010010001111
asegurar				11010010010000
aseguran				11010010010001
contrapuestos				11010010010010
-				11010010010011
esposa:				11010010010100
Ninguno				11010010010101
rodearon				11010010010110
«Quien				11010010010111
mostrar				11010010011000
favorecidos				11010010011001
despartir				11010010011010
hágase				11010010011011
guardan				11010010011100
traella;				11010010011101
notable				1101001001111
concede				11010010100000
cuello				11010010100001
embestido				11010010100010
sábana				11010010100011
mujeres,				11010010100100
entregué				11010010100101
ti,				11010010100110
premio.				11010010100111
Ella				11010010101000
hacienda.				11010010101001
cupiese.				11010010101010
ofrecieron				11010010101011
pagalle				11010010101100
Veneciano:				11010010101101
procurarles				11010010101110
contento,				11010010101111
Digo				11010010110000
resolverse				11010010110001
llevan				11010010110010
importunaciones,				11010010110011
sale				11010010110100
ofuscan				11010010110101
Capitán				11010010110110
entendimiento				11010010110111
alma,				11010010111000
conocerse				11010010111001
hablan				11010010111010
leguas				11010010111011
dónde,				11010010111100
estará				11010010111101
desventuras.				1101001011111
estaño				11010011000000
vivos,				11010011000001
serlo.				11010011000010
punto,				11010011000011
serlo,				11010011000100
faltó				11010011000101
Acudió				11010011000110
curarle;				11010011000111
¡Pues				11010011001000
viuda,				11010011001001
Mirad				11010011001010
pareció,				11010011001011
asida				11010011001100
único				11010011001101
Presa,				11010011001110
Presa.				11010011001111
licor				11010011010000
conservan				11010011010001
soldadesca				11010011010010
Mira,				11010011010011
apartarse				11010011010100
viaje,				11010011010101
ardite,				11010011010110
quitaran,				11010011010111
viaje.				11010011011000
aquí?				11010011011001
ropa				11010011011010
almas				11010011011011
contraria				11010011011100
aquí.				11010011011101
entendiendo				1101001101111
Cervellón,				11010011100000
ventero-.				11010011100001
esposas				11010011100010
ventero-,				11010011100011
creer,				11010011100100
incita,				11010011100101
desdichada				11010011100110
nigromante				11010011100111
esforzados				11010011101000
cargar				11010011101001
Milán,				11010011101010
año,				11010011101011
proa,				11010011101100
